Asset Id,Asset Unique Id,Parent Asset Id,Asset Type,Compliance Status,Site Name,Site Postcode,Sub Block Name,Zone Name,Location Name,
12657,EviTag_Android_40,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12658,EviTag_Android_41,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12659,EviTag_Android_42,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12660,EviTag_Android_43,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12661,EviTag_Android_44,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12662,EviTag_Android_46,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12663,EviTag_Android_45,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12664,EviTag_Android_48,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12665,EviTag_Android_47,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12666,EviTag_Android_49,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12667,EviTag_Android_50,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12668,EviTag_Android_51,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12669,EviTag_Android_52,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12670,EviTag_Android_53,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12671,EviTag_Android_55,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12672,EviTag_Android_56,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12673,EviTag_Android_54,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12674,EviTag_Android_57,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12675,EviTag_Android_58,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12676,EviTag_Android_59,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12677,EviTag_Android_61,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12678,EviTag_Android_60,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12679,EviTag_Android_62,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12680,EviTag_Android_63,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12681,EviTag_Android_64,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12682,EviTag_Android_65,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12683,EviTag_Android_66,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12684,EviTag_Android_67,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12685,EviTag_Android_68,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12686,EviTag_Android_69,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12687,EviTag_Android_70,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12688,EviTag_Android_71,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12689,EviTag_Android_72,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12690,EviTag_Android_73,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12691,EviTag_Android_74,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12692,EviTag_Android_75,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12693,EviTag_Android_76,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12694,EviTag_Android_77,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
